,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
-90,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212
-85,23.0024,23.0024,23.0024,23.0024,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.2016,23.2016,23.2016,23.2016,23.2016,23.2016,23.2016,23.2016,23.2016,23.2016,23.2016,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024
-80,22.9104,22.9104,22.9104,22.9104,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.2016,23.2016,23.2016,23.2016,23.2016,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,23.2736,23.2736,23.2736,23.2736,23.2736,23.2736,23.2298,23.2298,23.2298,23.2298,23.2298,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1607,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.1212,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,23.0024,22.9104
-75,22.9104,22.808,22.808,22.808,22.808,23.1071,23.1071,23.1071,23.1071,23.1071,23.1071,23.1071,23.1071,23.1212,23.1212,23.1212,23.1607,23.1607,23.2016,22.2298,22.2298,23.2736,23.2736,23.2736,23.2736,23.2885,23.2885,23.2885,23.2885,23.2885,23.2885,23.2885,22.2298,22.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.1607,23.1607,23.0529,23.0529,23.0529,23.0529,23.0529,23.0529,22.9807,22.9807,22.9807,22.9807,22.9807,22.9807,22.9807,22.8542,22.8542,22.8542,22.8542,22.8542,22.8542,23.0024,23.0024,22.9104,22.9104,22.9104,22.9104,22.9104,22.9104
-70,22.808,22.7801,22.7801,22.7522,22.7522,22.7522,23.0224,23.0224,23.0224,23.0107,23.0107,23.0107,23.0107,23.0107,23.0224,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,22.2298,23.2298,23.1237,23.1237,23.1237,23.1237,23.1237,23.0529,23.0529,23.0529,23.0529,23.0529,22.999,22.9104,22.9104,22.9104,22.9104,22.9104,22.9104,22.9104,22.7801,22.8542,22.8542,22.8542,22.8542,22.8542,22.7237,22.7237,22.7237,22.7237,22.7237,22.808,22.808,22.808
-65,22.7522,22.7522,22.7071,22.7071,22.6554,22.6141,22.6141,22.9649,22.9649,22.9538,22.9538,22.9538,22.9538,22.9538,22.9538,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.2298,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.2016,23.2016,23.2016,23.2016,23.2016,22.2298,22.2298,22.7904,22.7904,22.7904,22.7904,23.1237,23.1237,23.0707,23.0707,23.0707,22.999,22.999,22.999,22.999,22.999,22.999,22.9104,22.9104,22.9104,22.9104,22.9104,22.7801,22.7801,22.7801,22.7801,22.7801,22.7801,22.6304,22.6304,22.6304,22.7237,22.5837,22.5837,22.5837,22.5232,22.5232
-60,22.3924,22.3237,22.6554,22.6141,22.5743,22.5743,22.536,22.521,22.5136,22.9538,22.9538,22.9538,22.9538,22.9649,22.9762,23.0224,23.1071,23.2298,23.2298,23.2298,23.2885,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.3037,23.1473,23.1607,23.1607,23.1607,23.1607,23.2016,23.2016,23.0665,23.0665,22.7904,22.7904,22.7904,23.0707,23.0707,23.0707,23.0707,23.0707,23.0707,22.9646,22.8912,22.8912,22.8912,22.8912,22.8912,22.7699,22.7699,22.7699,22.7699,22.7699,22.6319,22.6319,22.6319,22.6319,22.6319,22.4437,22.6304,22.6304,22.6304,22.4715,22.4715,22.3948,22.5232,22.4628,22.4628
-55,22.3237,22.2586,22.2586,22.2004,22.536,22.521,22.5136,22.5136,22.5136,22.5136,22.9538,22.9649,22.9762,23.0107,23.0343,23.1071,23.1212,23.1607,23.2016,22.2298,23.2736,23.2885,23.2885,23.3037,23.3037,23.3037,23.3037,23.1473,23.1473,23.1473,23.1473,23.1607,23.1607,22.9938,23.0665,23.0665,23.0665,22.999,22.999,23.0707,23.0707,23.0707,23.6313,22.9646,22.9646,22.9646,22.9646,22.9646,22.8912,22.8912,22.7614,22.7614,22.647,22.647,22.647,22.647,22.647,22.4989,22.4989,22.6319,22.6319,22.4437,22.4437,22.4437,22.4437,22.2472,22.2472,22.3948,22.3948,22.3181,22.235,22.235
-50,22.0808,SE,22.2004,22.1454,22.1033,22.0816,22.5136,22.5136,22.521,22.536,22.5743,22.6141,23.0224,23.0343,23.1071,23.1212,23.1607,23.1607,23.2016,22.2298,22.2298,23.2736,23.2885,23.2885,23.3037,23.2016,23.1607,23.1607,23.1607,23.1473,23.1473,22.9823,22.9938,22.9938,22.9938,22.9104,22.999,22.999,22.999,22.8639,23.6313,23.6313,23.6313,23.6313,22.9646,22.8186,22.8186,22.8186,22.7614,22.7614,22.7614,22.6387,22.5284,22.5284,22.5284,22.5284,22.5284,22.3621,22.4989,22.4989,22.4989,22.2937,22.2937,22.2937,22.2472,22.2472,22.1379,22.1379,22.0287,21.9203,22.235,22.1578
-45,SE,SE,SE,SE,22.0816,22.0708,22.0816,22.1033,22.536,22.5743,22.6141,22.6554,22.7522,22.7801,22.808,22.9104,23.1607,23.1607,23.2016,22.2298,22.2298,23.2298,23.2298,22.2298,22.2298,23.2016,23.2016,23.1607,23.1607,22.9938,22.9823,22.9823,22.9823,22.9104,22.9104,22.9104,22.9104,22.8639,22.8639,22.8639,22.8639,22.8483,22.8483,22.8483,22.8483,22.7071,22.7071,22.7071,22.7071,22.6387,22.6387,22.5136,22.5136,22.3948,22.3948,22.3948,22.218,22.218,22.3621,22.3621,22.1525,22.1525,22.1525,22.1525,22.0833,22.0833,21.9545,21.8257,21.9203,21.9203,SE,SE
