nm,front surface transmssion,substrate transmission,predicted QE (%)
160,8.0561,0,8.0561
161,8.1059,0,8.1059
162,8.1554,0,8.1554
163,8.2043,0,8.2043
164,8.2531,0,8.2531
165,8.3015,0,8.3015
166,8.3587,0,8.3587
167,8.4195,0,8.4195
168,8.4804,0,8.4804
169,8.5414,0,8.5414
170,8.6028,0,8.6028
171,8.6646,0,8.6646
172,8.7372,0,8.7372
173,8.8102,0,8.8102
174,8.8839,0,8.8839
175,8.9583,0,8.9583
176,9.0336,0,9.0336
177,9.1097,0,9.1097
178,9.1942,0,9.1942
179,9.2805,0,9.2805
180,9.3678,0,9.3678
181,9.4562,0,9.4562
182,9.5457,0,9.5457
183,9.6363,0,9.6363
184,9.7307,0,9.7307
185,9.8324,0,9.8324
186,9.9352,0,9.9352
187,10.0393,0,10.0393
188,10.1445,0,10.1445
189,10.251,0,10.251
190,10.3589,0,10.3589
191,10.9597,0,10.9597
192,11.5689,0,11.5689
193,12.1907,0,12.1907
194,12.827,0,12.827
195,13.4795,0,13.4795
196,14.1498,0,14.1498
197,14.8394,0,14.8394
198,15.5496,0,15.5496
199,16.2882,0,16.2882
200,17.0544,0,17.0544
201,17.8448,0,17.8448
202,18.6602,0,18.6602
203,19.501,0,19.501
204,20.3676,0,20.3676
205,21.2603,0,21.2603
206,22.1791,0,22.1791
207,23.1377,0,23.1377
208,24.144,0,24.144
209,25.1391,0,25.1391
210,26.1989,0,26.1989
211,27.262,0,27.262
212,28.3735,0,28.3735
213,29.4826,0,29.4826
214,30.6266,0,30.6266
215,31.8142,0,31.8142
216,33.0747,0,33.0747
217,34.2885,0,34.2885
218,35.5092,0,35.5092
219,36.8106,0,36.8106
220,38.165,0,38.165
221,39.4841,0,39.4841
222,40.9034,0,40.9034
223,42.3317,0,42.3317
224,43.8755,0,43.8755
225,45.4594,0,45.4594
226,47.0375,0,47.0375
227,48.7548,0,48.7548
228,50.5265,0,50.5265
229,52.3005,0,52.3005
230,54.0997,0,54.0997
231,55.8778,0,55.8778
232,57.5088,0,57.5088
233,59.0063,0,59.0063
234,60.3533,0,60.3533
235,61.4608,0,61.4608
236,62.4596,0,62.4596
237,63.3084,0,63.3084
238,64.0585,0,64.0585
