model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
150,13.0788,0,13.0788
151,13.543,0,13.543
152,14.0478,0,14.0478
153,14.5861,0,14.5861
154,15.163,0,15.163
155,15.7806,0,15.7806
156,16.4545,0,16.4545
157,17.1721,0,17.1721
158,17.9316,0,17.9316
159,18.7359,0,18.7359
160,19.5858,0,19.5858
161,20.5062,0,20.5062
162,21.474,0,21.474
163,22.49,0,22.49
164,23.546,0,23.546
165,24.6472,0,24.6472
166,25.8088,0,25.8088
167,27.0193,0,27.0193
168,28.2648,0,28.2648
169,29.5439,0,29.5439
170,30.8507,0,30.8507
171,32.1771,0,32.1771
172,33.5608,0,33.5608
173,34.9465,0,34.9465
174,36.335,0,36.335
175,37.721,0,37.721
176,39.1034,0,39.1034
177,40.4792,0,40.4792
178,41.8578,0,41.8578
179,43.2083,0,43.2083
180,44.5337,0,44.5337
181,45.8284,0,45.8284
182,47.0813,0,47.0813
183,48.2885,0,48.2885
184,49.4632,0,49.4632
185,50.6159,0,50.6159
186,51.7133,0,51.7133
187,52.7576,0,52.7576
188,53.7535,0,53.7535
189,54.6973,0,54.6973
190,55.574,0,55.574
191,56.3994,0,56.3994
192,57.1679,0,57.1679
193,57.8732,0,57.8732
194,58.5307,0,58.5307
195,59.141,0,59.141
196,59.695,0,59.695
197,60.2036,0,60.2036
198,60.6667,0,60.6667
199,61.0959,0,61.0959
200,61.4952,0,61.4952
201,61.8504,0,61.8504
202,62.1643,0,62.1643
203,62.4409,0,62.4409
204,62.6762,0,62.6762
205,62.8764,0,62.8764
206,63.0409,0,63.0409
207,63.1963,0,63.1963
208,63.3558,0,63.3558
209,63.4199,0,63.4199
210,63.5171,0,63.5171
211,63.5518,0,63.5518
212,63.5945,0,63.5945
213,63.5755,0,63.5755
214,63.5492,0,63.5492
215,63.5268,0,63.5268
216,63.5438,0,63.5438
217,63.4587,0,63.4587
218,63.3448,0,63.3448
219,63.284,0,63.284
