260 to 300 nm band,
,
nm,%T
180,3.2596
181,2.9993
182,2.7555
183,2.5407
184,2.3657
185,2.2297
186,2.1289
187,2.057
188,2.0101
189,1.9827
190,1.9665
191,1.9586
192,1.9525
193,1.9394
194,1.9159
195,1.878
196,1.8215
197,1.7492
198,1.6635
199,1.569
200,1.4711
201,1.3746
202,1.2825
203,1.197
204,1.119
205,1.0495
206,0.9886
207,0.9362
208,0.8916
209,0.8541
210,0.8235
211,0.7989
212,0.78
213,0.7663
214,0.7576
215,0.7537
216,0.7542
217,0.7594
218,0.7687
219,0.7827
220,0.8012
221,0.8248
222,0.8534
223,0.8877
224,0.9277
225,0.9746
226,1.0283
227,1.0904
228,1.1627
229,1.2462
230,1.3418
231,1.4515
232,1.5761
233,1.7186
234,1.8816
235,2.0686
236,2.2839
237,2.5311
238,2.8174
239,3.148
240,3.5326
241,3.9764
242,4.4921
243,5.0939
244,5.7964
245,6.6196
246,7.5764
247,8.6965
248,9.9999
249,11.5121
250,13.2688
251,15.2788
252,17.5802
253,20.1777
254,23.0661
255,26.2372
256,29.6311
257,33.1853
258,36.7965
259,40.3267
260,43.6737
261,46.7114
262,49.3484
263,51.5355
264,53.2284
265,54.4626
266,55.2952
267,55.7777
268,55.9817
269,55.9708
270,55.7979
271,55.5137
272,55.159
273,54.762
274,54.3463
275,53.9264
276,53.5102
277,53.1046
278,52.7116
279,52.3285
280,51.9442
281,51.5672
282,51.1933
283,50.8189
284,50.4402
285,50.0533
286,49.6546
287,49.2411
288,48.8096
289,48.3573
290,47.8831
291,47.3852
292,46.8622
293,46.3137
294,45.7393
295,45.1307
296,44.49
297,43.8242
298,43.1341
299,42.4207
300,41.685
301,40.928
302,40.1523
303,39.3611
304,38.5537
305,37.7316
306,36.8974
307,36.0529
308,35.1999
309,34.3406
310,33.4791
311,32.5854
312,31.6939
313,30.8065
314,29.9266
315,29.0552
316,28.1941
317,27.3448
318,26.5122
319,25.6949
320,24.8933
321,24.1083
322,23.3415
323,22.5929
324,21.8624
325,21.1502
326,20.4567
