model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
150,2.444,0,2.444
151,2.4275,0,2.4275
152,2.4171,0,2.4171
153,2.4107,0,2.4107
154,2.409,0,2.409
155,2.4118,0,2.4118
156,2.4233,0,2.4233
157,2.4412,0,2.4412
158,2.4668,0,2.4668
159,2.5006,0,2.5006
160,2.5433,0,2.5433
161,2.5992,0,2.5992
162,2.6651,0,2.6651
163,2.7417,0,2.7417
164,2.829,0,2.829
165,2.9282,0,2.9282
166,3.0426,0,3.0426
167,3.1718,0,3.1718
168,3.3151,0,3.3151
169,3.4735,0,3.4735
170,3.648,0,3.648
171,3.8395,0,3.8395
172,4.0544,0,4.0544
173,4.2882,0,4.2882
174,4.5427,0,4.5427
175,4.8184,0,4.8184
176,5.1167,0,5.1167
177,5.4387,0,5.4387
178,5.7869,0,5.7869
179,6.1593,0,6.1593
180,6.5529,0,6.5529
181,6.9656,0,6.9656
182,7.3946,0,7.3946
183,7.8371,0,7.8371
184,8.2875,0,8.2875
185,8.7421,0,8.7421
186,9.1897,0,9.1897
187,9.6201,0,9.6201
188,10.0246,0,10.0246
189,10.3928,0,10.3928
190,10.7135,0,10.7135
191,12.4614,0,12.4614
192,14.1783,0,14.1783
193,15.7355,0,15.7355
194,17.0106,0,17.0106
195,17.9181,0,17.9181
196,18.429,0,18.429
197,18.5703,0,18.5703
198,18.4113,0,18.4113
199,18.0477,0,18.0477
200,17.5553,0,17.5553
201,16.9988,0,16.9988
202,16.4245,0,16.4245
203,15.8657,0,15.8657
204,15.3472,0,15.3472
205,14.8762,0,14.8762
206,14.4591,0,14.4591
207,14.1073,0,14.1073
208,13.8217,0,13.8217
209,13.5672,0,13.5672
210,13.3826,0,13.3826
211,13.2332,0,13.2332
212,13.1397,0,13.1397
213,13.0763,0,13.0763
214,13.0574,0,13.0574
215,13.0851,0,13.0851
216,13.1715,0,13.1715
217,13.2636,0,13.2636
218,13.3847,0,13.3847
219,13.565,0,13.565
220,13.7939,0,13.7939
221,14.0352,0,14.0352
222,14.345,0,14.345
223,14.6876,0,14.6876
224,15.1082,0,15.1082
225,15.579,0,15.579
226,16.085,0,16.085
227,16.6898,0,16.6898
228,17.3631,0,17.3631
229,18.1023,0,18.1023
230,18.9122,0,18.9122
231,19.7789,0,19.7789
232,20.6446,0,20.6446
233,21.5119,0,21.5119
234,22.3656,0,22.3656
235,23.1559,0,23.1559
236,23.9391,0,23.9391
237,24.6938,0,24.6938
238,25.4446,0,25.4446
239,26.1871,0,26.1871
240,26.9402,0,26.9402
241,27.7263,0,27.7263
242,28.5133,0,28.5133
243,29.3651,0,29.3651
244,30.2944,0,30.2944
245,31.2553,0,31.2553
246,32.2761,0,32.2761
247,33.3821,0,33.3821
248,34.5404,0,34.5404
249,35.8322,0,35.8322
250,37.1927,0,37.1927
251,38.5565,0,38.5565
252,40.0602,0,40.0602
253,41.6321,0,41.6321
254,43.3829,0,43.3829
255,45.2165,0,45.2165
256,47.1549,0,47.1549
257,49.2552,0,49.2552
258,51.4681,0,51.4681
259,53.7752,0,53.7752
260,56.2224,0,56.2224
261,58.7025,0,58.7025
262,61.3001,0,61.3001
263,64.0092,0,64.0092
264,66.8065,0,66.8065
265,69.6679,0,69.6679
266,72.5713,0,72.5713
267,75.548,0,75.548
268,78.5026,0,78.5026
269,81.4082,0,81.4082
270,84.1579,0,84.1579
271,86.6061,0,86.6061
272,88.7809,0,88.7809
273,90.6461,0,90.6461
274,92.137,0,92.137
275,93.1906,0,93.1906
276,93.7889,0,93.7889
277,93.9598,0,93.9598
278,93.7515,0,93.7515
279,93.1818,0,93.1818
280,92.2804,0,92.2804
281,91.1445,0,91.1445
282,89.7862,0,89.7862
283,88.2328,0,88.2328
284,86.5245,0,86.5245
285,84.7131,0,84.7131
286,82.833,0,82.833
287,80.9112,0,80.9112
288,79.1797,0,79.1797
289,77.598,0,77.598
290,76.1545,0,76.1545
291,74.9197,0,74.9197
292,73.89,0,73.89
293,72.9325,0,72.9325
294,72.0476,0,72.0476
295,71.2429,0,71.2429
296,70.4835,0,70.4835
297,69.7502,0,69.7502
298,69.0396,0,69.0396
299,68.3265,0,68.3265
300,67.6337,0,67.6337
301,66.986,0,66.986
302,66.3618,0,66.3618
303,65.7418,0,65.7418
304,65.1342,0,65.1342
305,64.5563,0,64.5563
306,63.9627,0,63.9627
307,63.3763,0,63.3763
308,62.8092,0,62.8092
309,62.2495,0,62.2495
310,61.7025,0,61.7025
311,61.1598,0,61.1598
312,60.6211,0,60.6211
313,60.086,0,60.086
314,59.5686,0,59.5686
315,59.0625,0,59.0625
316,58.5558,0,58.5558
317,58.06,0,58.06
318,57.578,0,57.578
319,57.101,0,57.101
320,56.633,0,56.633
321,56.1851,0,56.1851
322,55.7412,0,55.7412
323,55.3094,0,55.3094
324,54.8854,0,54.8854
325,54.473,0,54.473
326,54.0704,0,54.0704
327,53.6782,0,53.6782
328,53.2982,0,53.2982
329,52.9203,0,52.9203
330,52.5512,0,52.5512
331,52.1852,0,52.1852
332,51.8323,0,51.8323
333,51.4921,0,51.4921
334,51.1527,0,51.1527
335,50.8199,0,50.8199
336,50.4916,0,50.4916
337,50.1732,0,50.1732
338,49.86,0,49.86
339,49.5544,0,49.5544
340,49.2466,0,49.2466
341,48.9491,0,48.9491
342,48.6552,0,48.6552
343,48.3601,0,48.3601
344,48.0635,0,48.0635
345,47.7635,0,47.7635
346,47.4642,0,47.4642
347,47.1584,0,47.1584
348,46.855,0,46.855
349,46.53,0,46.53
350,46.2015,0,46.2015
351,45.8549,0,45.8549
352,45.5115,0,45.5115
353,45.1308,0,45.1308
354,44.7498,0,44.7498
355,44.3473,0,44.3473
356,43.9485,0,43.9485
357,43.5227,0,43.5227
358,43.0919,0,43.0919
359,42.6723,0,42.6723
360,42.2636,0,42.2636
361,41.8997,0,41.8997
362,41.5619,0,41.5619
363,41.2886,0,41.2886
364,41.0729,0,41.0729
365,40.8998,0,40.8998
366,40.827,0,40.827
367,40.7722,0,40.7722
368,40.8404,0,40.8404
369,40.8918,0,40.8918
370,41.0664,0,41.0664
371,41.2258,0,41.2258
372,41.466,0,41.466
373,41.7184,0,41.7184
374,42.0106,0,42.0106
375,42.3321,0,42.3321
376,42.664,0,42.664
377,43.0288,0,43.0288
378,43.3947,0,43.3947
379,43.7639,0,43.7639
380,44.1374,0,44.1374
