sim:nr PA area distance majoraxis n60 n70 n80 n90 probability
  76  18    0.29  89.08    1.73   1   1   1   1  1.00
 579  19    0.43 118.01    6.94   1   1   1   1  1.00
  68  62    0.47  66.24    4.98   1   1   1   1  1.00
  31  17    0.54 121.00    1.80   1   1   1   1  1.00
 412  13    0.96 157.66    2.91   1   1   1   1  1.00
 434  13    1.07 134.06    3.60   1   1   1   1  1.00
 422  48    1.18 157.30   72.65   1   1   1   1  1.00
  17  24    1.20 132.56    5.92   1   1   1   1  1.00
 217  51    1.29 142.90    2.68   1   1   1   1  1.00
 284  53    1.45 176.56    2.84   1   1   1   1  1.00
 272  63    1.46 165.32    4.09   1   1   1   1  1.00
 175  39    1.49 126.79    4.81   1   1   1   1  1.00
 332  31    1.60 171.00   27.16   1   1   1   1  1.00
 348  74    1.65 172.01    3.34   1   1   1   1  1.00
  18  42    1.72 103.83   13.97   1   1   1   1  1.00
 445  76    1.89 244.19   49.22   1   1   1   1  1.00
 379  50    2.04 255.66    3.46   1   1   1   1  1.00
 378  89    2.22 207.03    4.10   1   1   1   1  1.00
 228  15    2.36 266.61    3.80   1   1   1   1  1.00
  95  30    2.37 286.85    4.89   1   1   1   1  1.00
  37  58    2.49  83.51    7.28   1   1   1   1  0.99
 307  82    2.62 196.77    4.63   1   1   1   1  1.00
 316  46    2.89 219.07    5.42   1   1   1   1  1.00
 518  61    2.92 270.46   11.09   1   1   1   1  1.00
 305   6    2.94 225.22    6.16   1   1   1   1  1.00
 373  19    2.98 114.17    7.17   1   1   1   1  0.99
 268  58    3.03 107.17    8.78   1   1   1   1  0.97
 145  19    3.14 172.42    5.26   1   1   1   1  1.00
 333  60    3.17 228.53    3.88   1   1   1   1  1.00
 514  62    3.39 159.12   14.12   1   2   2   2  1.00
 367  39    3.44 336.45   24.17   1   1   1   1  0.98
  12  38    3.69 316.85   18.62   1   1   1   1  0.96
  73   4    4.06 235.19   30.82   1   1   1   1  0.99
 363  89    4.08 347.87  109.80   1   1   1   1  1.00
 357  15    4.18 136.29   10.36   1   1   1   1  0.93
  47  61    4.24 320.16   44.97   1   1   1   1  0.99
 306  15    4.30 223.77    6.28   1   1   1   1  0.99
  28  49    4.48 168.47    7.44   1   1   1   1  0.98
 207  69    4.54 327.49   91.83   1   1   1   1  0.99
 387  26    4.65 245.13    6.12   1   1   1   1  1.00
 298  13    4.74 251.26    5.59   1   1   1   1  1.00
 124  82    4.94 313.45   70.95   1   1   1   1  0.98
   4  16    4.97 292.76    8.23   1   1   1   1  0.98
  54   6    5.06 218.09    4.83   1   1   1   1  1.00
  46  18    5.15 251.77    5.78   1   1   1   1  0.99
 365  43    5.24 342.32   28.51   1   1   1   1  0.91
 398  60    5.25 136.07    3.59   1   1   1   1  0.98
 183  26    5.29  85.47   32.68   1   1   1   1  0.91
 473  75    5.38 331.27   24.78   1   1   1   2  1.00
 243  72    5.45 494.18   30.32   1   1   1   1  0.95
  38  75    5.49 258.99    9.21   1   1   1   1  0.97
 421  62    5.58 274.73    4.89   1   1   1   1  1.00
 259  38    5.68 258.62    5.50   1   1   1   1  1.00
   8  17    5.74 292.49    6.88   1   1   1   1  0.99
  24  19    5.95 267.30    8.95   1   1   1   1  0.96
 517  12    6.00 206.68   19.44   1   1   1   1  0.97
 235  64    6.24 162.11    6.33   1   1   1   1  0.99
 563  53    6.44 190.12    9.09   1   1   1   1  0.93
 447  24    6.44 321.07    6.90   1   2   2   2  1.00
 208  61    6.59 398.72    9.13   1   1   1   1  0.95
 258  46    6.77 478.62   44.07   1   1   1   1  0.96
 293   2    6.85 417.77   23.28   1   1   1   1  0.95
 410  10    7.05 244.12    8.34   1   1   1   1  0.97
  72  27    7.06 397.05   16.05   1   1   1   1  0.98
 510  74    7.28 373.69    8.52   1   1   1   1  0.98
 255   1    7.39 589.67   38.73   1   1   1   1  0.95
 577  58    7.65 403.60   47.28   1   1   1   1  0.93
  35  23    7.70 202.53   11.92   1   1   1   1  0.93
 396  40    7.81 112.21    8.28   1   1   1   1  0.96
 454  47    7.82 326.48   78.75   1   1   1   1  0.97
 402  47    7.82 268.91    9.50   1   1   1   1  0.98
 126  25    7.86 358.34    6.14   1   1   1   1  0.99
 286   3    7.95 330.91    7.34   1   1   1   1  0.98
 498  53    8.07 274.47    6.60   1   1   1   1  0.97
  82  15    8.14 210.59   22.69   1   1   1   1  0.92
 371  85    8.58 192.92   15.11   1   1   1   2  0.94
 335  23    8.62 193.54    6.94   1   1   1   1  0.97
 464   7    8.80 608.28    6.96   1   1   1   1  0.98
 229  37    8.99 320.14   26.43   1   1   1   1  0.91
 295  26    9.05 185.69    6.26   1   1   1   1  0.97
 123  19    9.06 517.11   61.19   1   1   1   1  0.97
 166  31    9.15 242.77    8.59   1   1   1   1  0.95
 448  34    9.24 196.05   12.67   1   1   1   2  0.92
 342  12    9.40 182.76   10.93   1   1   1   1  0.93
 324  63    9.41 342.65   12.52   1   1   1   2  0.95
 559  82    9.46 159.39   54.04   1   1   2   2  0.99
 542  67    9.47 407.62    5.90   1   1   1   1  0.97
 541  17    9.59 260.59   11.72   1   1   1   2  0.94
   6  88    9.60 330.98   56.34   1   1   1   1  0.94
 312  17    9.67 356.11   55.42   1   1   1   1  0.92
 449  70    9.75 450.96   57.77   1   1   1   1  0.93
 195  36    9.76 234.18   50.90   1   1   1   2  0.93
  70  16    9.83 430.09    8.90   1   1   1   1  0.96
 108  60   10.07 475.88    9.63   1   1   1   1  0.95
 426  89   10.11 422.49   55.42   1   1   1   1  0.93
  32   0   10.15 421.06    9.59   1   1   1   2  0.95
  99  15   10.33 287.79   12.27   1   1   1   1  0.91
 290  22   10.45 157.10   15.96   1   1   1   2  0.94
 345  78   10.94 321.97    9.77   1   1   1   1  0.92
 484  68   11.32 194.44    9.33   1   1   1   1  0.93
  93  57   11.68 432.65    7.26   1   1   1   1  0.95
 256  28   12.14 310.58   13.14   1   1   1   2  0.91
 430  62   12.21 157.01   13.63   1   1   1   2  0.91
 253  39   12.27 381.74   11.70   1   1   1   2  0.94
 130  18   12.31  51.87   13.39   1   1   1   2  0.95
 385   0   12.33 393.50    8.43   1   1   1   1  0.96
 414  82   12.59 154.50   11.21   1   1   1   2  0.94
 388  89   12.60 378.80   11.80   1   1   1   2  0.94
 288  37   12.73 366.23   12.44   1   1   1   2  0.93
 476  27   12.94 438.23   52.05   1   1   1   1  0.95
   3  79   13.05 493.66   10.34   1   1   1   1  0.93
 441  33   13.12 100.09   19.52   2   2   3   3  0.97
  25  32   13.15 449.66    8.71   2   2   2   2  0.98
 558  51   13.32 461.15   47.30   1   1   1   2  0.96
  30   0   13.37 270.30    9.91   1   1   1   1  0.93
 326  24   13.57 395.82   57.24   1   1   1   1  0.94
 418  56   13.57 168.36    5.58   1   1   1   1  0.95
 291  88   13.60 158.42   20.77   1   1   2   3  0.98
 458  10   13.92 410.92   62.17   1   1   1   3  0.97
 569  26   13.93 210.25   21.97   1   1   2   3  0.99
 485  44   14.01 146.83  162.66   2   2   3   4  0.94
 180  58   14.06 413.05   10.61   1   1   1   2  0.96
 462  12   14.34 424.55    7.00   1   1   1   1  0.94
 119  35   14.34 291.14    8.81   1   1   1   1  0.92
  23  10   14.61 538.68    9.31   1   1   1   1  0.95
 446  20   14.63 168.42   17.98   1   1   2   2  0.93
  98  84   14.85 140.95   13.73   1   2   2   3  1.00
 471   0   14.93 396.81    9.39   1   1   1   1  0.92
 247  77   14.94 355.77    9.00   1   1   1   1  0.93
 194  41   15.03 281.66   13.51   1   1   1   2  0.94
  53   0   15.24 346.09   23.08   1   1   1   2  0.94
 459  86   15.28 495.80   34.77   1   1   1   2  0.97
 225  21   16.59 448.29   70.96   1   1   1   1  0.93
 469  11   16.87 310.64   13.58   1   1   1   2  0.91
 325  61   17.07 189.89   19.31   1   2   2   3  0.98
   2  10   17.50 302.27   36.34   1   1   2   3  0.98
 416  46   17.62 538.08   11.93   1   1   1   2  0.96
 482  61   18.23 242.49   17.40   1   2   2   3  0.99
 439  46   18.50 419.92   74.19   1   1   1   2  0.94
 220  55   18.67  95.71  106.39   1   2   2   3  0.95
 210  26   18.89 318.50    9.69   1   1   1   2  0.94
 162  79   18.91 469.23   27.67   1   1   2   2  0.96
 309  83   19.24 251.54   24.03   1   1   2   3  0.92
 146  84   19.69 596.77    8.60   2   2   2   2  0.97
