nm,%R,,,
150,77.693,,,
151,78.3193,,,
152,78.9097,,,
153,79.4665,,,
154,79.9918,,,
155,80.4871,,,
156,81.0239,,,
157,81.5316,,,
158,82.012,,,
159,82.4668,,,
160,82.8976,,,
161,83.299,,,
162,83.6787,,,
163,84.038,,,
164,84.378,,,
165,84.7001,,,
166,84.9642,,,
167,85.2143,,,
168,85.451,,,
169,85.6751,,,
170,85.8873,,,
171,86.1988,,,
172,86.4941,,,
173,86.774,,,
174,87.0395,,,
175,87.2914,,,
176,87.5242,,,
177,87.7461,,,
178,87.9473,,,
179,88.1375,,,
180,88.3185,,,
181,88.4583,,,
182,88.5907,,,
183,88.7158,,,
184,88.8342,,,https://www.actonoptics.com/products/al-mgf2-mirrors
185,88.9461,,,
186,89.0121,,,
187,89.0739,,,
188,89.1316,,,
189,89.1854,,,
190,89.2356,,,
191,89.2848,,,
192,89.3306,,,
193,89.3732,,,
194,89.4128,,,
195,89.4494,,,
196,89.4719,,,
197,89.4919,,,
198,89.5096,,,
199,89.525,,,
200,89.5383,,,
201,89.5584,,,
202,89.5765,,,
203,89.5928,,,
204,89.6073,,,
205,89.6202,,,
206,89.6465,,,
207,89.6685,,,
208,89.6841,,,
209,89.6982,,,
210,89.7107,,,
211,89.6933,,,
212,89.6751,,,
213,89.6562,,,
214,89.6366,,,
215,89.6164,,,
216,89.6091,,,
217,89.6011,,,
218,89.5923,,,
219,89.5829,,,
220,89.5729,,,
221,89.5541,,,
222,89.5351,,,
223,89.5158,,,
224,89.4964,,,
225,89.4769,,,
226,89.4543,,,
227,89.4317,,,
228,89.401,,,
229,89.3668,,,
230,89.3328,,,
231,89.2942,,,
232,89.2559,,,
233,89.218,,,
234,89.1804,,,
235,89.1432,,,
236,89.1085,,,
237,89.0743,,,
238,89.037,,,
239,88.9938,,,
240,88.9512,,,
241,88.9195,,,
242,88.8883,,,
243,88.8574,,,
244,88.8271,,,
245,88.7973,,,
246,88.751,,,
247,88.7057,,,
248,88.6614,,,
249,88.6256,,,
250,88.5906,,,
251,88.5507,,,
252,88.5118,,,
253,88.4738,,,
254,88.4368,,,
255,88.4008,,,
256,88.3619,,,
257,88.324,,,
258,88.2873,,,
259,88.2516,,,
260,88.217,,,
261,88.1816,,,
262,88.1473,,,
263,88.1141,,,
264,88.0777,,,
265,88.0386,,,
266,88.0024,,,
267,87.9674,,,
268,87.9336,,,
269,87.901,,,
