pix-sigm	pix-fwhm	center	corner	avg rat
0.1	0.235	1	4	2.5	1
0.2	0.47	1.0511	4	2.52555	0.950778577
0.3	0.705	1.478	4.0138	2.7459	0.647937161
0.4	0.94	2.4087	4.2037	3.3062	0.321065956
0.5	1.175	3.7622	4.7972	4.2797	0.129205469
0.6	1.41	5.3724	5.8493	5.61085	0.043440713
0.7	1.645	7.1428	7.3171	7.22995	0.012127559
0.8	1.88	9.0834	9.1342	9.1088	0.002792411
0.851	1.99985	10.1524	10.1772	10.1648	0.001220641
0.9	2.115	11.2354	11.2472	11.2413	0.000524988
1	2.35	13.625	13.6272	13.6261	8.07307E-05
1.1	2.585	16.2628	16.2631	16.26295	9.22346E-06
1.2	2.82	19.1516	19.1516	19.1516	0
