UGC00017     0.929725  15.218985  9.1 13.0 -999.0 16.86 0.08 16.59 0.02 14.880 0.006 1211 MISDR2_28657_0750_04737/MISDR2_28657_0750                       MIS   1691.05  1691.05
ESO409-015   1.383640 -28.099908  5.4  9.8 -999.0 15.94 0.01 15.86 0.01 15.873 0.001 0    GI1_009016_HPJ0005m28_21048/GI1_009016_HPJ0005m28               GII   1597.05  1597.05
ESO293-034   1.583550 -41.497280  6.2 18.3 -999.0 14.77 0.01 14.38 0.01 11.612 0.001 0    AIS_390_50390_0001_sv26/AIS_390_sg26                            AIS    373.00   373.00
NGC0007      2.087407 -29.914812  4.8 21.9    1.6 15.48 0.01 15.18 0.01 14.021 0.002 1096 AIS_280_50280_0001_sv37/AIS_280_sg37                            AIS    107.00   107.00
IC1532       2.468434 -64.372169  4.0 28.7    5.3 16.74 0.08 16.38 0.01 14.590 0.004 1031 AIS_397_50397_0001_sv28/AIS_397_sg28                            AIS    112.00   112.00
NGC0024      2.484438 -24.964018  5.1  6.9    2.8 14.11 0.01 13.79 0.01 11.492 0.001 355  NGA_NGC0024_05002/NGA_NGC0024                                   NGS   1577.15  1577.15
ESO293-045   2.853125 -41.398099  7.8 27.9    5.5 16.27 0.01 16.11 0.01 15.784 0.007 0    AIS_390_50390_0001_sv35/AIS_390_sg35                            AIS    371.00   371.00
UGC00122     3.323550  17.029280  9.6 11.6    0.7 16.05 0.01 15.89 0.01 15.815 0.029 0    AIS_144_50144_0001_sv75/AIS_144_sg75                            AIS    203.05   203.05
UGC00132     3.503175  12.963801  7.9 22.4 -999.0 17.21 0.02 16.69 0.05 14.585 0.001 0    AIS_286_50286_0001_sv32/AIS_286_sg32                            AIS    264.00   257.00
NGC0059      3.854846 -21.444339 -2.9  4.9    0.6 16.10 0.01 15.35 0.01 12.749 0.001 0    GI4_095002_NGC0059_24142/GI4_095002_NGC0059                     GII   2398.15  2397.15
UGC00156     4.199970  12.350260  9.8 15.9 -999.0 16.60 0.07 15.73 0.07 14.176 0.001 0    AIS_286_50286_0001_sv31/AIS_286_sg31                            AIS    104.10   104.10
NGC0063      4.439552  11.450338 -3.4 18.8    0.2 16.81 0.03 15.61 0.02 11.838 0.001 1213 AIS_286_50286_0001_sv46/AIS_286_sg46                            AIS    110.00   110.00
ESO539-007   4.701543 -19.007968  8.7 25.6 -999.0 16.27 0.07 16.05 0.03 15.256 0.011 0    AIS_275_50275_0001_sv13/AIS_275_sg13                            AIS    107.00   107.00
ESO150-005   5.607727 -53.648004  7.8 15.2    2.2 15.48 0.01 15.26 0.01 14.083 0.006 0    AIS_391_50391_0001_sv41/AIS_391_sg41                            AIS    253.05   253.05
NGC0100      6.011113  16.486026  5.9 16.4    3.1 15.79 0.04 15.32 0.01 13.002 0.002 1214 AIS_286_50286_0001_sv07/AIS_286_sg07                            AIS    217.00   217.00
NGC0115      6.692700 -33.677098  3.9 30.7    5.3 15.16 0.01 14.91 0.01 13.752 0.001 1097 MIS2DFSGP_41281_0499_04518/MIS2DFSGP_41281_0499                 MIS   1531.20  1531.20
UGC00260     6.762137  11.583803  5.8 32.3    2.3 15.36 0.01 15.04 0.01 12.767 0.001 1188 AIS_286_50286_0001_sv36/AIS_286_sg36                            AIS    204.00   204.00
ESO410-012   7.073298 -27.982521  4.6 20.6 -999.0 17.44 0.01 17.18 0.01 16.736 0.006 0    GI4_052003_MZ9069_24078/GI4_052003_MZ9069                       GII   1581.05  1581.05
UGC00290     7.284883  15.899069  9.5  9.0    0.2 17.66 0.21 17.36 0.08 16.412 0.005 0    AIS_285_50285_0001_sv98/AIS_285_sg98                            AIS    216.10   216.10
NGC0131      7.410483 -33.259902  3.0 18.8 -999.0 16.08 0.01 15.65 0.01 13.036 0.002 0    MIS2DFSGP_41281_0499_04518/MIS2DFSGP_41281_0499                 MIS   1531.20  1531.20
UGC00313     7.858420   6.206820  4.3 27.8 -999.0 16.78 0.11 16.34 0.04 13.976 0.004 0    AIS_286_50286_0001_sv85/AIS_286_sg85                            AIS     78.00    78.00
ESO079-003   8.009728 -64.253213  3.1 39.0    4.1 16.66 0.02 16.14 0.03 11.604 0.001 0    AIS_397_50397_0001_sv48/AIS_397_sg48                            AIS    112.00   112.00
UGC00320     8.128720   2.574640  6.1 40.8    4.7 17.36 0.01 17.04 0.01 15.949 0.001 0    MISWZS01_28972_0266_17308/MISWZS01_28972_0266                   MIS   1703.05  1703.05
IC1553       8.167184 -25.607556  7.0 33.4    1.6 16.17 0.02 15.87 0.01 12.970 0.001 1300 AIS_275_50275_0001_sv89/AIS_275_sg89                            AIS    372.65   372.60
ESO410-018   8.545903 -30.774519  8.9 19.0 -999.0 15.39 0.01 15.21 0.01 14.536 0.057 0    AIS_281_50281_0001_sv38/AIS_281_sg38                            AIS    344.15   305.15
NGC0150      8.564448 -27.803522  3.4 21.0    3.3 14.19 0.01 13.86 0.01 10.918 0.001 1100 AIS_281_50281_0001_sv10/AIS_281_sg10                            AIS    277.15   160.10
NGC0148      8.564559 -31.785999 -2.0 18.4 -999.0 19.37 0.66 17.79 0.12 11.744 0.001 0    AIS_281_50281_0001_sv47/AIS_281_sg47                            AIS    346.10   279.05
IC1555       8.636397 -30.017818  7.0 23.1    2.0 15.94 0.01 15.52 0.01 14.438 0.001 1096 AIS_281_50281_0001_sv38/AIS_281_sg38                            AIS    344.15   305.15
NGC0157      8.694906  -8.396344  4.0 19.5    5.4 13.59 0.01 12.96 0.01 10.066 0.001 1105 GI1_009078_NGC0157_21092/GI1_009078_NGC0157                     GII   1579.30  1579.30
IC1558       8.946172 -25.374404  9.0 13.7    4.6 14.73 0.01 14.43 0.01 13.337 0.002 1100 AIS_275_50275_0001_sv88/AIS_275_sg88                            AIS    373.35   221.00
