nm,%R
160,83.0148
161,83.4044
162,83.773
163,84.1219
164,84.4522
165,84.7651
166,85.0206
167,85.2625
168,85.4916
169,85.7084
170,85.9137
171,86.2184
172,86.5073
173,86.7812
174,87.0411
175,87.2876
176,87.5159
177,87.7335
178,87.9308
179,88.1173
180,88.2948
181,88.431
182,88.5598
183,88.6817
184,88.7969
185,88.9058
186,88.9689
187,89.0279
188,89.0829
189,89.1343
190,89.182
191,89.2289
192,89.2725
193,89.3131
194,89.3506
195,89.3854
196,89.4057
197,89.4237
198,89.4393
199,89.4529
200,89.4644
201,89.4831
202,89.5
203,89.5151
204,89.5286
205,89.5405
206,89.5661
207,89.5875
208,89.6025
209,89.6161
210,89.6282
211,89.6099
212,89.5908
213,89.5711
214,89.5507
215,89.5299
216,89.5223
217,89.514
218,89.5051
219,89.4957
220,89.4857
221,89.4669
222,89.4479
223,89.4288
224,89.4096
225,89.3904
226,89.3681
227,89.3459
228,89.3156
229,89.282
230,89.2485
231,89.2103
232,89.1726
233,89.1352
234,89.0982
235,89.0617
236,89.0281
237,88.9951
238,88.9589
239,88.9169
240,88.8756
241,88.8455
242,88.816
243,88.7869
244,88.7584
245,88.7305
246,88.6858
247,88.6419
248,88.5993
249,88.5651
250,88.5318
251,88.4934
252,88.456
253,88.4196
254,88.3842
255,88.3499
256,88.3125
257,88.2762
258,88.2411
259,88.2071
260,88.1742
261,88.1404
262,88.1077
263,88.0763
264,88.0416
265,88.0042
266,87.9698
267,87.9366
268,87.9047
269,87.8739
270,87.8444
271,87.8106
272,87.7781
273,87.7469
274,87.717
275,87.6883
276,87.6591
277,87.6312
278,87.6046
279,87.5791
280,87.5502
281,87.5225
282,87.4961
283,87.4711
284,87.4473
285,87.4247
286,87.4035
287,87.3834
288,87.3645
289,87.3467
290,87.3301
291,87.3146
292,87.3003
293,87.2871
294,87.2751
295,87.261
296,87.2451
297,87.2305
298,87.2171
299,87.2048
300,87.1936
301,87.1831
302,87.1736
303,87.1652
304,87.1579
305,87.1516
306,87.1463
307,87.1419
308,87.1386
309,87.1362
310,87.1342
311,87.1175
312,87.1019
313,87.0874
314,87.0739
315,87.0615
316,87.05
317,87.0395
318,87.03
319,87.0215
320,87.0139
321,87.0072
322,87.0015
323,86.9966
324,86.9926
325,86.9895
326,86.9873
327,86.9916
328,86.9989
329,87.0069
330,87.0155
331,87.0248
332,87.0347
333,87.0452
334,87.0564
335,87.0681
336,87.0791
337,87.0818
338,87.0852
339,87.0893
340,87.094
341,87.0994
342,87.1054
343,87.112
344,87.1192
345,87.1269
346,87.1315
347,87.1335
348,87.136
349,87.1391
350,87.1428
351,87.1468
352,87.1513
353,87.1563
354,87.1619
355,87.168
356,87.1746
357,87.1817
358,87.1893
359,87.1973
360,87.2058
361,87.2147
362,87.224
363,87.2337
364,87.2438
365,87.2556
366,87.2703
367,87.2854
368,87.3007
369,87.3164
370,87.3323
371,87.3486
372,87.3651
373,87.3818
374,87.3989
375,87.4162
376,87.4338
377,87.4516
378,87.4697
379,87.488
380,87.5066
381,87.5254
382,87.5444
383,87.5637
384,87.5831
385,87.6027
386,87.6226
387,87.6427
388,87.6629
389,87.6828
390,87.6885
391,87.6945
392,87.7008
393,87.7074
394,87.7144
395,87.7216
396,87.7291
397,87.7369
398,87.7449
399,87.7533
400,87.7618
401,87.7693
402,87.777
403,87.7849
404,87.7931
405,87.8015
406,87.8101
407,87.819
408,87.828
409,87.8373
410,87.8468
411,87.8565
412,87.8664
413,87.8765
414,87.8852
415,87.8935
416,87.902
417,87.9107
418,87.9196
419,87.9288
420,87.9381
421,87.9476
422,87.9573
423,87.9672
424,87.9773
425,87.9875
426,87.9979
427,88.0085
428,88.0193
429,88.0301
430,88.0412
431,88.0524
432,88.0637
433,88.0752
434,88.0868
435,88.0986
436,88.1105
437,88.1225
438,88.1346
439,88.1468
440,88.1592
441,88.1717
442,88.1843
443,88.1946
444,88.1955
445,88.1966
446,88.198
447,88.1996
448,88.2014
449,88.2034
450,88.2057
451,88.2078
452,88.2101
453,88.2126
454,88.2153
455,88.2182
456,88.2213
457,88.2245
458,88.228
459,88.2316
460,88.2354
461,88.2394
462,88.2435
463,88.2478
464,88.2523
465,88.2569
466,88.2617
467,88.2666
468,88.2717
469,88.2769
470,88.2822
471,88.2877
472,88.2933
473,88.2991
474,88.305
475,88.311
476,88.3171
477,88.3229
478,88.3258
479,88.3288
480,88.332
481,88.3352
482,88.3387
483,88.3422
484,88.3459
485,88.3497
486,88.3537
487,88.3578
488,88.362
489,88.3663
490,88.3708
491,88.3754
492,88.3801
493,88.3849
494,88.3898
495,88.3948
496,88.3999
497,88.4052
498,88.4105
499,88.416
500,88.4215
501,88.4271
502,88.4329
503,88.4387
504,88.4446
505,88.4506
506,88.4567
507,88.4629
508,88.4691
509,88.4755
510,88.4819
511,88.4884
512,88.495
513,88.5017
514,88.5084
515,88.5152
516,88.5221
517,88.5262
518,88.5259
519,88.5258
520,88.5259
521,88.5261
522,88.5264
523,88.5268
524,88.5274
525,88.5281
526,88.5289
527,88.5299
528,88.5309
529,88.5321
530,88.5334
531,88.5348
532,88.5364
533,88.538
534,88.5397
535,88.5416
536,88.5436
537,88.5456
538,88.5478
539,88.5501
540,88.5525
541,88.5549
542,88.5575
543,88.5602
544,88.5629
545,88.5658
546,88.5687
547,88.5717
548,88.5749
549,88.5781
550,88.5813
551,88.5847
552,88.5882
553,88.5917
554,88.5953
555,88.599
556,88.6028
557,88.6066
558,88.6106
559,88.6146
560,88.6186
561,88.6228
562,88.627
563,88.6313
564,88.6311
565,88.6249
566,88.6189
567,88.613
568,88.6073
569,88.6017
570,88.5963
571,88.5911
572,88.5859
573,88.5809
574,88.5761
575,88.5714
576,88.5668
577,88.5624
578,88.5581
579,88.5539
580,88.5498
581,88.5459
582,88.5421
583,88.5385
584,88.5349
585,88.5315
586,88.5282
587,88.525
588,88.522
589,88.519
590,88.5162
591,88.5135
592,88.5109
593,88.5084
594,88.506
595,88.5037
596,88.5015
597,88.4995
598,88.4975
599,88.4957
600,88.4939
601,88.4922
602,88.4907
603,88.4892
604,88.4879
605,88.4866
606,88.4854
607,88.4843
608,88.4834
609,88.4825
610,88.4817
611,88.4809
612,88.4803
613,88.4798
614,88.4793
615,88.479
616,88.4787
617,88.4785
618,88.4783
619,88.4783
620,88.4776
621,88.4667
622,88.4559
623,88.4454
624,88.4349
625,88.4246
626,88.4145
627,88.4045
628,88.3947
629,88.385
630,88.3755
631,88.3661
632,88.3568
633,88.3477
634,88.3387
635,88.3299
636,88.3212
637,88.3126
638,88.3042
639,88.2958
640,88.2877
641,88.2796
642,88.2717
643,88.2639
644,88.2562
645,88.2487
646,88.2413
647,88.234
648,88.2268
649,88.2198
650,88.2128
651,88.206
652,88.1993
653,88.1867
654,88.1723
655,88.158
656,88.1438
657,88.1298
658,88.116
659,88.1023
660,88.0887
661,88.0753
662,88.062
663,88.0489
664,88.0359
665,88.0231
666,88.0104
667,87.9978
668,87.9854
669,87.9731
670,87.9609
671,87.9489
672,87.937
673,87.9252
674,87.9136
675,87.902
676,87.8907
677,87.8794
678,87.8683
679,87.8573
680,87.8464
681,87.8356
682,87.825
683,87.8144
684,87.804
685,87.7937
686,87.7836
687,87.7735
688,87.7636
689,87.7518
690,87.7316
691,87.7115
692,87.6916
693,87.6719
694,87.6523
695,87.6329
696,87.6136
697,87.5945
698,87.5755
699,87.5567
700,87.538
701,87.5195
702,87.5012
703,87.4829
704,87.4649
705,87.4469
706,87.4292
707,87.4115
708,87.394
709,87.3767
710,87.3595
711,87.3424
712,87.3255
713,87.3087
714,87.292
715,87.2755
716,87.2591
717,87.2429
718,87.2268
719,87.2108
720,87.195
721,87.1792
722,87.1636
723,87.1482
724,87.1328
725,87.1176
726,87.1026
727,87.0876
728,87.0728
729,87.0581
730,87.0294
