nm,front surface transmssion,substrate transmission,predicted QE (%)
160,6.1067,0,6.1067
161,6.3054,0,6.3054
162,6.5077,0,6.5077
163,6.713,0,6.713
164,6.9209,0,6.9209
165,7.1309,0,7.1309
166,7.3494,0,7.3494
167,7.5722,0,7.5722
168,7.7955,0,7.7955
169,8.0187,0,8.0187
170,8.2413,0,8.2413
171,8.4624,0,8.4624
172,8.6905,0,8.6905
173,8.9157,0,8.9157
174,9.1376,0,9.1376
175,9.3554,0,9.3554
176,9.5685,0,9.5685
177,9.7762,0,9.7762
178,9.9848,0,9.9848
179,10.1875,0,10.1875
180,10.3832,0,10.3832
181,10.5712,0,10.5712
182,10.7512,0,10.7512
183,10.9226,0,10.9226
184,11.0878,0,11.0878
185,11.2496,0,11.2496
186,11.4021,0,11.4021
187,11.5451,0,11.5451
188,11.6786,0,11.6786
189,11.8024,0,11.8024
190,11.9168,0,11.9168
191,13.4524,0,13.4524
192,14.971,0,14.971
193,16.4216,0,16.4216
194,17.7548,0,17.7548
195,18.9303,0,18.9303
196,19.9225,0,19.9225
197,20.7207,0,20.7207
198,21.329,0,21.329
199,21.77,0,21.77
200,22.0639,0,22.0639
201,22.2317,0,22.2317
202,22.2997,0,22.2997
203,22.2917,0,22.2917
204,22.229,0,22.229
205,22.1292,0,22.1292
206,22.0067,0,22.0067
207,21.8843,0,21.8843
208,21.7755,0,21.7755
209,21.6405,0,21.6405
210,21.5432,0,21.5432
211,21.4408,0,21.4408
212,21.3688,0,21.3688
213,21.2937,0,21.2937
214,21.2429,0,21.2429
215,21.2223,0,21.2223
216,21.25,0,21.25
217,21.2523,0,21.2523
218,21.2647,0,21.2647
219,21.3303,0,21.3303
220,21.4321,0,21.4321
221,21.5208,0,21.5208
222,21.6724,0,21.6724
223,21.8364,0,21.8364
224,22.0703,0,22.0703
225,22.3339,0,22.3339
226,22.6068,0,22.6068
227,22.9643,0,22.9643
228,23.3614,0,23.3614
229,23.8169,0,23.8169
230,24.3185,0,24.3185
231,24.8523,0,24.8523
232,25.3528,0,25.3528
233,25.8231,0,25.8231
234,26.2409,0,26.2409
235,26.5597,0,26.5597
236,26.8206,0,26.8206
237,27.0121,0,27.0121
