193 to 233 nm band,
JH calculations,
nm,%T
180,6.6545
181,7.8858
182,9.4133
183,11.3077
184,13.6071
185,16.2978
186,19.5305
187,23.359
188,27.7956
189,32.7869
190,38.1909
191,43.7168
192,48.948
193,53.7686
194,57.9339
195,61.2928
196,63.8026
197,65.5251
198,66.583
199,67.1143
200,67.2826
201,67.2111
202,66.9845
203,66.6637
204,66.2889
205,65.8841
206,65.4698
207,65.0346
208,64.5725
209,64.092
210,63.5886
211,63.042
212,62.4653
213,61.8563
214,61.2162
215,60.5609
216,59.8828
217,59.1743
218,58.4355
219,57.6659
220,56.8644
221,56.026
222,55.151
223,54.2358
224,53.2764
225,52.2683
226,51.2043
227,50.0877
228,48.9341
229,47.7302
230,46.4739
231,45.1752
232,43.8348
233,42.4551
234,41.0434
235,39.6077
236,38.1606
237,36.708
238,35.2496
239,33.7887
240,32.353
241,30.9792
242,29.6425
243,28.3479
244,27.0998
245,25.9011
246,24.7515
247,23.6545
248,22.6103
249,21.6173
250,20.6747
251,19.7793
252,18.9306
253,18.1261
254,17.3631
255,16.6386
256,15.9488
257,15.2913
258,14.6632
259,14.0613
260,13.4828
261,12.9246
262,12.3844
263,11.8598
264,11.3445
265,10.8375
266,10.3481
267,9.8701
268,9.4008
269,8.9398
270,8.4871
271,8.0421
272,7.606
273,7.1796
274,6.7637
275,6.3591
276,5.9693
277,5.5939
278,5.2326
279,4.8862
280,4.5536
281,4.2374
282,3.9379
283,3.6554
284,3.3896
285,3.1405
286,2.9076
287,2.6905
288,2.4886
289,2.3012
290,2.1285
291,1.9693
292,1.8222
293,1.6864
294,1.5612
295,1.4455
296,1.3387
297,1.2406
298,1.1503
299,1.0673
300,0.991
301,0.9208
302,0.8562
303,0.7974
304,0.7432
305,0.6934
306,0.6474
307,0.605
308,0.5658
309,0.5296
310,0.4962
311,0.4654
312,0.4369
313,0.4105
314,0.3861
315,0.3634
316,0.3423
317,0.3228
318,0.3046
319,0.2877
320,0.2719
321,0.2572
322,0.2435
323,0.2307
324,0.2188
325,0.2076
326,0.1972
327,0.1875
328,0.1784
329,0.1699
330,0.162
331,0.1545
332,0.1474
333,0.1408
334,0.1345
335,0.1287
336,0.1232
337,0.1179
338,0.1129
339,0.1083
340,0.1038
341,0.0996
342,0.0957
343,0.0919
344,0.0884
345,0.085
346,0.0818
347,0.0789
348,0.0761
349,0.0735
350,0.0709
351,0.0685
352,0.0662
353,0.064
354,0.0619
355,0.0599
356,0.058
357,0.0562
358,0.0545
359,0.0528
360,0.0512
361,0.0497
362,0.0482
363,0.0468
364,0.0455
365,0.0442
366,0.0428
367,0.0415
368,0.0403
369,0.0391
370,0.038
371,0.0369
372,0.0358
373,0.0348
374,0.0339
375,0.0329
376,0.0321
377,0.0312
378,0.0304
379,0.0296
380,0.0288
381,0.0281
382,0.0274
383,0.0267
384,0.026
385,0.0254
386,0.0248
387,0.0242
388,0.0236
389,0.0231
390,0.0226
391,0.0222
392,0.0217
393,0.0213
394,0.0209
395,0.0205
396,0.0201
397,0.0197
398,0.0193
399,0.019
400,0.0186
401,0.0183
402,0.018
403,0.0177
404,0.0173
405,0.017
406,0.0168
407,0.0165
408,0.0162
409,0.0159
410,0.0157
411,0.0154
412,0.0152
413,0.0149
414,0.0147
415,0.0144
416,0.0142
417,0.014
418,0.0137
419,0.0135
420,0.0133
421,0.0131
422,0.0129
423,0.0127
424,0.0125
425,0.0123
426,0.0121
427,0.0119
428,0.0117
429,0.0116
430,0.0114
431,0.0112
432,0.0111
433,0.0109
434,0.0108
435,0.0106
436,0.0105
437,0.0103
438,0.0102
439,0.0101
440,0.01
441,0.0098
442,0.0097
443,0.0096
444,0.0095
445,0.0094
446,0.0093
447,0.0092
448,0.0091
449,0.009
450,0.0089
451,0.0088
452,0.0087
453,0.0086
454,0.0085
455,0.0084
456,0.0083
457,0.0082
458,0.0082
459,0.0081
460,0.008
461,0.0079
462,0.0078
463,0.0078
464,0.0077
465,0.0076
466,0.0075
467,0.0075
468,0.0074
469,0.0073
470,0.0073
471,0.0072
472,0.0071
473,0.0071
474,0.007
475,0.0069
476,0.0069
477,0.0068
478,0.0068
479,0.0067
480,0.0066
481,0.0066
482,0.0065
483,0.0065
484,0.0064
485,0.0064
486,0.0063
487,0.0063
488,0.0062
489,0.0062
490,0.0061
491,0.0061
492,0.0061
493,0.006
494,0.006
495,0.0059
496,0.0059
497,0.0058
498,0.0058
499,0.0057
500,0.0057
501,0.0057
502,0.0056
503,0.0056
504,0.0055
505,0.0055
506,0.0055
507,0.0054
508,0.0054
509,0.0053
510,0.0053
511,0.0053
512,0.0052
